Date start,Date end,Title,Description,Class,Image,URL,Sponsors
25/01/2017,25/01/2017,,,,,,
24/02/2017,25/02/2017,,,,,,
20/06/2017,20/06/2017,,,,,,
10/10/2017,10/10/2017,,,,,,
21/10/2017,22/10/2017,,,,,,
23/11/2017,06/12/2017,,,,,,
06/03/2018,20/03/2018,,,,,,
09/05/2018,11/05/2018,,,,,,
18/05/2018,19/05/2018,,,,,,
09/06/2018,09/06/2018,,,,,,
02/07/2018,22/02/2019,,,,,,
10/07/2018,19/07/2018,,,,,,
19/09/2018,,,,,,,
20/09/2018,21/09/2018,,,,,,
05/03/2019,05/03/2019,,,,,,
02/05/2019,02/05/2019,,,,,,
16/07/2019,17/07/2019,,,,,,