Date,Tweets,Tweet Impressions,Twitter Profile visits,Twitter Mentions,Twitter New Followers,Facebook Posts,Facebook Reach,Facebook Impressions,LinkedIn Impressions,Youtube Views,Youtube Minutes
2014-09,0,5628,0,0,0,0,0,0,0,0,0
2014-10,0,15200,0,0,0,0,0,0,0,0,0
2014-11,0,1721,0,0,0,0,0,0,0,0,0
2014-12,0,4756,0,0,0,0,0,0,0,0,0
2015-01,0,6549,0,0,0,0,0,0,0,0,0
2015-02,0,24600,0,0,0,0,0,0,0,0,0
2015-03,0,2312,0,0,0,0,0,0,0,0,0
2015-04,0,10200,0,0,0,0,0,0,0,0,0
2015-05,0,21300,0,0,0,0,0,0,0,0,0
2015-06,0,15200,0,0,0,0,0,0,0,0,0
2015-07,0,5157,0,0,0,0,0,0,0,0,0
2015-08,0,5340,0,0,0,0,0,0,0,0,0
2015-09,0,8058,0,0,0,0,0,0,0,0,0
2015-10,0,9121,0,0,0,0,0,0,0,0,0
2015-11,0,8963,0,0,0,0,0,0,0,0,0
2015-12,0,541,0,0,0,0,0,0,0,0,0
2016-01,0,1115,0,0,0,0,0,0,0,0,0
2016-02,0,284,0,0,0,0,0,0,0,0,0
2016-03,0,1692,0,0,0,0,0,0,0,0,0
2016-04,0,548,0,0,0,0,0,0,0,0,0
2016-05,0,840,0,0,0,0,0,0,0,0,0
2016-06,0,1075,0,0,0,0,0,0,0,0,0
2016-07,0,634,0,0,0,0,0,0,0,0,0
2016-08,0,1588,0,0,0,0,0,0,0,0,0
2016-09,0,5202,0,0,0,0,0,0,0,0,0
2016-10,0,3744,0,0,0,0,0,0,0,0,0
2016-11,0,15600,0,0,0,0,0,0,0,0,0
2016-12,0,10200,0,0,0,0,0,0,0,0,0
2017-01,0,8510,0,0,0,0,0,0,0,0,0
2017-02,0,7092,0,0,0,0,0,0,0,0,0
2017-03,0,3708,0,0,0,0,0,0,0,0,0
2017-04,0,692,0,0,0,0,0,0,0,0,0
2017-05,0,1669,0,0,0,0,0,0,0,0,0
2017-06,0,875,0,0,0,0,0,0,0,0,0
2017-07,0,399,0,0,0,0,0,0,0,0,0
2017-08,0,15600,0,0,0,0,0,0,0,0,0
2017-09,0,37400,0,0,0,0,0,0,0,0,0
2017-10,0,12400,0,0,0,0,0,0,0,0,0
2017-11,0,33500,0,0,0,0,0,0,0,0,0
2017-12,0,8906,0,0,0,0,0,0,0,0,0
2018-01,0,20700,0,0,0,0,0,0,0,0,0
2018-02,0,16400,0,0,0,0,0,0,0,0,0
2018-03,0,7060,0,0,0,0,0,0,0,0,0
2018-04,0,5305,0,0,0,0,0,0,0,0,0
2018-05,0,11100,0,0,0,0,0,0,0,0,0
2018-06,0,8130,0,0,0,0,0,0,0,0,0
2018-07,0,7633,0,0,0,0,0,0,0,0,0
2018-08,0,17400,0,0,0,0,0,0,0,0,0
2018-09,0,12300,0,0,0,0,0,0,0,0,0
2018-10,0,9025,0,0,0,0,0,0,0,0,0
2018-11,0,3084,0,0,0,0,0,0,0,0,0
2018-12,0,4934,0,0,0,0,0,0,0,0,0
2019-01,0,11000,0,0,0,0,0,0,0,0,0
2019-02,0,28500,7,0,0,0,0,0,0,0,0
2019-03,5,6959,319,19,0,0,0,0,0,0,0
2019-04,3,4549,195,7,0,0,0,0,0,0,0
2019-05,22,21700,406,51,0,0,0,0,0,0,0
2019-06,36,26800,723,72,0,0,0,0,0,0,0
2019-07,6,5433,169,21,0,0,0,0,0,0,0
2019-08,26,17900,227,38,0,0,0,0,0,0,0
2019-09,0,0,0,0,0,0,0,0,0,0,0